sku,cost,name,fnsku,last-seen,Cost,Compare
amzn.gr.USB3-HUB7C-SReB7mrHxeh80baQaL-GD,0,Plugable 7-Port USB 3.0 Hub with 36W Power Adapter,X003OZ0KXB,2023-02-02T19:00:00-05:00,0,
amzn.gr.USB2-MICRO-250X-650OnUGunZsmb-PO,21.13,"Plugable USB Digital Microscope with Flexible Arm Observation Stand Compatible with Windows, Mac, Linux (2MP, 250x Magnification)",X0034Q1C2N,2023-08-31T20:00:00-04:00,21.13,"{""sharedFormula"":""G2""}"
amzn.gr.UD-6950H-6oJG-Q9KJKD45qxAITmw-LN,80.92,"Plugable Universal Laptop Docking Station, 4K Dual Monitor, DisplayPort or HDMI, Windows Mac or ChromeOS Laptops, USB-C or USB 3.0, Adds 2 Displays, Ethernet, Audio, 6 USB Ports Black",X003KIH5YJ,2023-08-31T20:00:00-04:00,80.92,"{""sharedFormula"":""G2""}"
amzn.gr.UD-6950H-rJSg7Ci8BTDX9so_BS5q-LN,80.92,"Plugable Universal Laptop Docking Station, 4K Dual Monitor, DisplayPort or HDMI, Windows Mac or ChromeOS Laptops, USB-C or USB 3.0, Adds 2 Displays, Ethernet, Audio, 6 USB Ports Black",X003KKFM2T,2023-08-31T20:00:00-04:00,80.92,"{""sharedFormula"":""G2""}"
amzn.gr.UD-3900--8U0RL8gTaoyZVBpn23-LN,0,"Plugable USB 3.0 Universal Laptop Docking Station Dual Monitor for Windows and Mac, USB 3.0 or USB-C, (Dual Video: HDMI and HDMI/DVI/VGA, Gigabit Ethernet, Audio, 6 USB Ports)",X003IETUQ1,2023-03-31T20:00:00-04:00,0,"{""sharedFormula"":""G2""}"
amzn.gr.TBT3-UDZ-IxeRFBzpdWGF5GjgSi_7-LN,0,"Plugable 14-in-1 USB-C and Thunderbolt Dock - 40Gbps with 96W Charging, Compatible with Mac and Windows, 2X HDMI 2.0 and DisplayPort, 7X USB Ports, Ethernet, Audio, SD/MicroSD",X0035GHNZR,2022-10-31T20:00:00-04:00,0,"{""sharedFormula"":""G2""}"
amzn.gr.TBT3-UDC3-m3BYMXbT-_QJiu72Y4W-VG,0,"Plugable Thunderbolt 3 and USB C Docking Station with 96W Charging - Compatible with Mac and Windows Laptops, DisplayPort and HDMI, 2X USB-C, 3X USB 3.0, Gigabit Ethernet, Audio Jack - Horizontal",X0038OHT0P,2022-10-31T20:00:00-04:00,0,"{""sharedFormula"":""G2""}"
amzn.gr.USBC-11IN1E-ng7uMIY87vKe5VUSC-LN,0,"Plugable 11-in-1 USB-C Hub, 100W USB-C Pass-Through, Laptop Docking Station Dual Monitor, 4K 60Hz HDMI, Compatible with Thunderbolt, Windows, Chromebooks, Displays Mirrored on Mac",X003OTBXV5,2023-07-20T20:00:00-04:00,0,"{""sharedFormula"":""G2""}"
amzn.gr.USBC-768H4-dKtVfSefl3lfV-Vg0G-GD,0,"Plugable 4 HDMI Multi Monitor Adapter, USB 3.0 or USB C to HDMI Adapter, Compatible with Windows and Mac, Quad Adapter Supports 1920x1080@60Hz",X003TLJ4H3,2023-05-11T20:00:00-04:00,0,"{""sharedFormula"":""G2""}"
amzn.gr.UD-ULTC4K-sqbNg7QG1vMWNIPVXYx-VG,0,"Plugable 4K USB C Docking Station Triple Monitor with 100W Power Delivery, USB C Dock for Thunderbolt 3 / 4, USB-C Windows and Mac (3X HDMI and 3X DisplayPort, 1x USB-C, 4X USB 3.0, SD Card Reader)",X0033ZUR7V,2022-12-31T19:00:00-05:00,0,"{""sharedFormula"":""G2""}"
